State         Time      Voltage            mAhg     Equivalence      Solid_Conc       Thickness     Vol_En_Dens     Spe_En_Dens       Areal_cap
  CDR        hours        Volts           mAh/g          LixNMC          LixNMC              um            Wh/L            Wh/g         mAh/cm2
    D      0.00000      4.20000     0.00000E+00     0.00000E+00     2.09696E-04     2.61594E-03     0.00000E+00     0.00000E+00     0.00000E+00
    D      0.02778      3.99021     2.08333E+00     7.49806E-03     1.18110E-02     2.61594E-03     7.35584E+00     5.33032E+00     7.52083E-03
    D      0.05528      3.98773     4.14583E+00     1.49211E-02     2.81424E-02     2.61594E-03     1.91943E+01     1.39089E+01     1.49665E-02
    D      0.08278      3.96925     6.20833E+00     2.23442E-02     3.70881E-02     2.61594E-03     3.10442E+01     2.24958E+01     2.24121E-02
    D      0.11028      3.94691     8.27083E+00     2.97673E-02     4.46179E-02     2.61594E-03     4.28545E+01     3.10540E+01     2.98577E-02
    D      0.13778      3.92674     1.03333E+01     3.71904E-02     5.22711E-02     2.61594E-03     5.46052E+01     3.95690E+01     3.73033E-02
    D      0.16528      3.90718     1.23958E+01     4.46134E-02     6.02333E-02     2.61594E-03     6.62942E+01     4.80392E+01     4.47490E-02
    D      0.19278      3.88839     1.44583E+01     5.20365E-02     6.84135E-02     2.61594E-03     7.79243E+01     5.64669E+01     5.21946E-02
    D      0.22028      3.87044     1.65208E+01     5.94596E-02     7.67144E-02     2.61594E-03     8.94992E+01     6.48545E+01     5.96402E-02
    D      0.24778      3.85326     1.85833E+01     6.68827E-02     8.50597E-02     2.61594E-03     1.01022E+02     7.32045E+01     6.70858E-02
    D      0.27528      3.83677     2.06458E+01     7.43057E-02     9.33982E-02     2.61594E-03     1.12496E+02     8.15190E+01     7.45315E-02
    D      0.30278      3.82090     2.27083E+01     8.17288E-02     1.01704E-01     2.61594E-03     1.23923E+02     8.97996E+01     8.19771E-02
    D      0.33028      3.80556     2.47708E+01     8.91519E-02     1.09971E-01     2.61594E-03     1.35306E+02     9.80476E+01     8.94227E-02
    D      0.35778      3.79073     2.68333E+01     9.65750E-02     1.18209E-01     2.61594E-03     1.46644E+02     1.06264E+02     9.68683E-02
    D      0.38528      3.77637     2.88958E+01     1.03998E-01     1.26429E-01     2.61594E-03     1.57941E+02     1.14450E+02     1.04314E-01
    D      0.41278      3.76246     3.09583E+01     1.11421E-01     1.34644E-01     2.61594E-03     1.69197E+02     1.22606E+02     1.11760E-01
    D      0.44028      3.74898     3.30208E+01     1.18844E-01     1.42864E-01     2.61594E-03     1.80412E+02     1.30734E+02     1.19205E-01
    D      0.46778      3.73591     3.50833E+01     1.26267E-01     1.51093E-01     2.61594E-03     1.91590E+02     1.38833E+02     1.26651E-01
    D      0.49528      3.72323     3.71458E+01     1.33690E-01     1.59333E-01     2.61594E-03     2.02730E+02     1.46906E+02     1.34096E-01
    D      0.52278      3.71094     3.92083E+01     1.41113E-01     1.67585E-01     2.61594E-03     2.13833E+02     1.54952E+02     1.41542E-01
    D      0.55028      3.69901     4.12708E+01     1.48537E-01     1.75852E-01     2.61594E-03     2.24902E+02     1.62972E+02     1.48988E-01
