State         Time      Voltage            mAhg     Equivalence      Solid_Conc       Thickness     Vol_En_Dens     Spe_En_Dens       Areal_cap
  CDR        hours        Volts           mAh/g          LixNMC          LixNMC              um            Wh/L            Wh/g         mAh/cm2
    D      0.00000      4.20000     0.00000E+00     0.00000E+00     2.09696E-04     2.61594E-03     0.00000E+00     0.00000E+00     0.00000E+00
    D      0.02778      3.98454     2.08333E+00     7.49806E-03     1.64283E-02     2.61594E-03     7.33260E+00     5.31348E+00     7.52083E-03
    D      0.05528      3.96959     4.14583E+00     1.49211E-02     3.18862E-02     2.61594E-03     1.91532E+01     1.38792E+01     1.49665E-02
    D      0.08278      3.95509     6.20833E+00     2.23442E-02     3.88237E-02     2.61594E-03     3.10051E+01     2.24675E+01     2.24121E-02
    D      0.11028      3.93509     8.27083E+00     2.97673E-02     4.55069E-02     2.61594E-03     4.28108E+01     3.10223E+01     2.98577E-02
    D      0.13778      3.91481     1.03333E+01     3.71904E-02     5.28550E-02     2.61594E-03     5.45515E+01     3.95301E+01     3.73033E-02
    D      0.16528      3.89514     1.23958E+01     4.46134E-02     6.07095E-02     2.61594E-03     6.62289E+01     4.79919E+01     4.47490E-02
    D      0.19278      3.87630     1.44583E+01     5.20365E-02     6.88570E-02     2.61594E-03     7.78470E+01     5.64109E+01     5.21946E-02
    D      0.22028      3.85834     1.65208E+01     5.94596E-02     7.71528E-02     2.61594E-03     8.94100E+01     6.47899E+01     5.96402E-02
    D      0.24778      3.84118     1.85833E+01     6.68827E-02     8.55021E-02     2.61594E-03     1.00921E+02     7.31314E+01     6.70858E-02
    D      0.27528      3.82473     2.06458E+01     7.43057E-02     9.38466E-02     2.61594E-03     1.12384E+02     8.14377E+01     7.45315E-02
    D      0.30278      3.80890     2.27083E+01     8.17288E-02     1.02158E-01     2.61594E-03     1.23800E+02     8.97103E+01     8.19771E-02
    D      0.33028      3.79360     2.47708E+01     8.91519E-02     1.10433E-01     2.61594E-03     1.35172E+02     9.79504E+01     8.94227E-02
    D      0.35778      3.77879     2.68333E+01     9.65750E-02     1.18678E-01     2.61594E-03     1.46500E+02     1.06159E+02     9.68683E-02
    D      0.38528      3.76444     2.88958E+01     1.03998E-01     1.26908E-01     2.61594E-03     1.57786E+02     1.14338E+02     1.04314E-01
    D      0.41278      3.75053     3.09583E+01     1.11421E-01     1.35134E-01     2.61594E-03     1.69031E+02     1.22486E+02     1.11760E-01
    D      0.44028      3.73704     3.30208E+01     1.18844E-01     1.43365E-01     2.61594E-03     1.80237E+02     1.30606E+02     1.19205E-01
    D      0.46778      3.72396     3.50833E+01     1.26267E-01     1.51605E-01     2.61594E-03     1.91404E+02     1.38699E+02     1.26651E-01
    D      0.49528      3.71128     3.71458E+01     1.33690E-01     1.59856E-01     2.61594E-03     2.02534E+02     1.46764E+02     1.34096E-01
    D      0.52278      3.69897     3.92083E+01     1.41113E-01     1.68119E-01     2.61594E-03     2.13628E+02     1.54803E+02     1.41542E-01
    D      0.55028      3.68703     4.12708E+01     1.48537E-01     1.76399E-01     2.61594E-03     2.24687E+02     1.62817E+02     1.48988E-01
