State         Time      Voltage            mAhg     Equivalence      Solid_Conc       Thickness     Vol_En_Dens     Spe_En_Dens       Areal_cap
    D      0.57778      3.67545     4.33333E+01     1.55960E-01     1.84702E-01     2.61594E-03     2.35712E+02     1.70806E+02     1.56433E-01
    D      0.60528      3.66423     4.53958E+01     1.63383E-01     1.93043E-01     2.61594E-03     2.46704E+02     1.78771E+02     1.63879E-01
    D      0.63278      3.65338     4.74583E+01     1.70806E-01     2.01442E-01     2.61594E-03     2.57663E+02     1.86713E+02     1.71325E-01
    D      0.66028      3.64292     4.95208E+01     1.78229E-01     2.09927E-01     2.61594E-03     2.68592E+02     1.94632E+02     1.78770E-01
    D      0.68778      3.63289     5.15833E+01     1.85652E-01     2.18530E-01     2.61594E-03     2.79490E+02     2.02529E+02     1.86216E-01
    D      0.71528      3.62331     5.36458E+01     1.93075E-01     2.27283E-01     2.61594E-03     2.90359E+02     2.10405E+02     1.93661E-01
    D      0.74278      3.61422     5.57083E+01     2.00498E-01     2.36221E-01     2.61594E-03     3.01199E+02     2.18260E+02     2.01107E-01
    D      0.77028      3.60564     5.77708E+01     2.07921E-01     2.45371E-01     2.61594E-03     3.12013E+02     2.26096E+02     2.08553E-01
    D      0.79778      3.59758     5.98333E+01     2.15344E-01     2.54745E-01     2.61594E-03     3.22802E+02     2.33914E+02     2.15998E-01
    D      0.82528      3.59003     6.18958E+01     2.22767E-01     2.64334E-01     2.61594E-03     3.33566E+02     2.41715E+02     2.23444E-01
    D      0.85278      3.58295     6.39583E+01     2.30190E-01     2.74094E-01     2.61594E-03     3.44309E+02     2.49499E+02     2.30890E-01
    D      0.88028      3.57626     6.60208E+01     2.37613E-01     2.83940E-01     2.61594E-03     3.55031E+02     2.57269E+02     2.38335E-01
    D      0.90778      3.56989     6.80833E+01     2.45036E-01     2.93757E-01     2.61594E-03     3.65735E+02     2.65025E+02     2.45781E-01
    D      0.93528      3.56375     7.01458E+01     2.52460E-01     3.03413E-01     2.61594E-03     3.76423E+02     2.72770E+02     2.53226E-01
    D      0.96278      3.55776     7.22083E+01     2.59883E-01     3.12800E-01     2.61594E-03     3.87095E+02     2.80504E+02     2.60672E-01
    D      0.99028      3.55186     7.42708E+01     2.67306E-01     3.21856E-01     2.61594E-03     3.97753E+02     2.88227E+02     2.68118E-01
    D      1.01778      3.54601     7.63333E+01     2.74729E-01     3.30583E-01     2.61594E-03     4.08397E+02     2.95940E+02     2.75563E-01
    D      1.04528      3.54017     7.83958E+01     2.82152E-01     3.39034E-01     2.61594E-03     4.19027E+02     3.03643E+02     2.83009E-01
    D      1.07278      3.53433     8.04583E+01     2.89575E-01     3.47302E-01     2.61594E-03     4.29642E+02     3.11335E+02     2.90455E-01
    D      1.10028      3.52849     8.25208E+01     2.96998E-01     3.55498E-01     2.61594E-03     4.40241E+02     3.19016E+02     2.97900E-01
    D      1.12778      3.52270     8.45833E+01     3.04421E-01     3.63738E-01     2.61594E-03     4.50824E+02     3.26684E+02     3.05346E-01
    D      1.15528      3.51699     8.66458E+01     3.11844E-01     3.72129E-01     2.61594E-03     4.61390E+02     3.34340E+02     3.12791E-01
    D      1.18278      3.51141     8.87083E+01     3.19267E-01     3.80755E-01     2.61594E-03     4.71938E+02     3.41984E+02     3.20237E-01
    D      1.21028      3.50600     9.07708E+01     3.26690E-01     3.89658E-01     2.61594E-03     4.82469E+02     3.49615E+02     3.27683E-01
    D      1.23778      3.50075     9.28333E+01     3.34113E-01     3.98803E-01     2.61594E-03     4.92983E+02     3.57234E+02     3.35128E-01
    D      1.26528      3.49561     9.48958E+01     3.41536E-01     4.08047E-01     2.61594E-03     5.03481E+02     3.64842E+02     3.42574E-01
    D      1.29278      3.49047     9.69583E+01     3.48960E-01     4.17131E-01     2.61594E-03     5.13968E+02     3.72440E+02     3.50020E-01
    D      1.32028      3.48530     9.90208E+01     3.56383E-01     4.25749E-01     2.61594E-03     5.24444E+02     3.80032E+02     3.57465E-01
    D      1.34778      3.48007     1.01083E+02     3.63806E-01     4.33666E-01     2.61594E-03     5.34911E+02     3.87617E+02     3.64911E-01
    D      1.37528      3.47477     1.03146E+02     3.71229E-01     4.40802E-01     2.61594E-03     5.45372E+02     3.95197E+02     3.72356E-01
    D      1.40278      3.46935     1.05208E+02     3.78652E-01     4.47227E-01     2.61594E-03     5.55825E+02     4.02772E+02     3.79802E-01
    D      1.43028      3.46367     1.07271E+02     3.86075E-01     4.53100E-01     2.61594E-03     5.66269E+02     4.10340E+02     3.87248E-01
    D      1.45778      3.45758     1.09333E+02     3.93498E-01     4.58622E-01     2.61594E-03     5.76701E+02     4.17899E+02     3.94693E-01
    D      1.48528      3.45096     1.11396E+02     4.00921E-01     4.63990E-01     2.61594E-03     5.87119E+02     4.25448E+02     4.02139E-01
    D      1.51278      3.44380     1.13458E+02     4.08344E-01     4.69379E-01     2.61594E-03     5.97517E+02     4.32984E+02     4.09585E-01
    D      1.54028      3.43620     1.15521E+02     4.15767E-01     4.74907E-01     2.61594E-03     6.07895E+02     4.40504E+02     4.17030E-01
    D      1.56778      3.42823     1.17583E+02     4.23190E-01     4.80606E-01     2.61594E-03     6.18250E+02     4.48008E+02     4.24476E-01
    D      1.59528      3.41992     1.19646E+02     4.30613E-01     4.86354E-01     2.61594E-03     6.28583E+02     4.55495E+02     4.31921E-01
    D      1.62278      3.41113     1.21708E+02     4.38036E-01     4.91841E-01     2.61594E-03     6.38896E+02     4.62968E+02     4.39367E-01
    D      1.65028      3.40174     1.23771E+02     4.45460E-01     4.96664E-01     2.61594E-03     6.49194E+02     4.70431E+02     4.46813E-01
    D      1.67778      3.39160     1.25833E+02     4.52883E-01     5.00595E-01     2.61594E-03     6.59480E+02     4.77884E+02     4.54258E-01
    D      1.70528      3.38024     1.27896E+02     4.60306E-01     5.03719E-01     2.61594E-03     6.69751E+02     4.85327E+02     4.61704E-01
    D      1.73278      3.36645     1.29958E+02     4.67729E-01     5.06333E-01     2.61594E-03     6.80000E+02     4.92754E+02     4.69150E-01
    D      1.76028      3.34853     1.32021E+02     4.75152E-01     5.08786E-01     2.61594E-03     6.90212E+02     5.00154E+02     4.76595E-01
    D      1.78778      3.32541     1.34083E+02     4.82575E-01     5.11342E-01     2.61594E-03     7.00370E+02     5.07514E+02     4.84041E-01
    D      1.81528      3.29685     1.36146E+02     4.89998E-01     5.14055E-01     2.61594E-03     7.10453E+02     5.14821E+02     4.91486E-01
    D      1.84278      3.26168     1.38208E+02     4.97421E-01     5.16861E-01     2.61594E-03     7.20444E+02     5.22061E+02     4.98932E-01
    D      1.87028      3.21535     1.40271E+02     5.04844E-01     5.19810E-01     2.61594E-03     7.30315E+02     5.29214E+02     5.06378E-01
    D      1.89778      3.14649     1.42333E+02     5.12267E-01     5.23152E-01     2.61594E-03     7.40011E+02     5.36240E+02     5.13823E-01
    D      1.92528      3.03145     1.44396E+02     5.19690E-01     5.27272E-01     2.61594E-03     7.49435E+02     5.43069E+02     5.21269E-01
    D      1.92639          NaN     1.44479E+02     5.19990E-01             NaN     2.61594E-03     7.49806E+02     5.43337E+02     5.21570E-01
