State         Time     Equivalence  xx_c(j) J=SEP_NO     c_alpha_SEP           Phi_1         c_0_SEP     J=NJ      c_alpha_NJ           Phi_1          c_0_NJ  
    D        0.028     7.49806E-03  4218.75       22     1.00677E+00     4.14516E+00     4.26758E-01       33     1.00677E+00     4.14516E+00     4.26746E-01  
    D        0.028     7.49806E-03  4531.25       22     1.00743E+00     4.14516E+00     4.73208E-01       33     1.00743E+00     4.14516E+00     4.73196E-01  
    D        0.028     7.49806E-03  4843.75       22     1.00830E+00     4.14516E+00     5.30014E-01       33     1.00830E+00     4.14516E+00     5.30003E-01  
    D        0.028     7.49806E-03  5156.25       22     1.00946E+00     4.14516E+00     5.99783E-01       33     1.00946E+00     4.14516E+00     5.99772E-01  
    D        0.028     7.49806E-03  5468.75       22     1.01101E+00     4.14516E+00     6.85809E-01       33     1.01101E+00     4.14516E+00     6.85801E-01  
    D        0.028     7.49806E-03  5781.25       22     1.01309E+00     4.14516E+00     7.92014E-01       33     1.01309E+00     4.14516E+00     7.92008E-01  
    D        0.028     7.49806E-03  6093.75       22     1.01582E+00     4.14516E+00     9.22243E-01       33     1.01582E+00     4.14516E+00     9.22240E-01  
    D        0.028     7.49806E-03  6250.00       22     1.01755E+00     4.14516E+00     9.99995E-01       33     1.01755E+00     4.14516E+00     9.99993E-01  
    D        0.044     1.19219E-02     0.00       22             NaN             NaN             NaN       33             NaN             NaN             NaN  
    D        0.044     1.19219E-02   156.25       22             NaN             NaN             NaN       33             NaN             NaN             NaN  
    D        0.044     1.19219E-02   468.75       22             NaN             NaN             NaN       33             NaN             NaN             NaN  
    D        0.044     1.19219E-02   781.25       22             NaN             NaN             NaN       33             NaN             NaN             NaN  
    D        0.044     1.19219E-02  1093.75       22             NaN             NaN             NaN       33             NaN             NaN             NaN  
    D        0.044     1.19219E-02  1406.25       22             NaN             NaN             NaN       33             NaN             NaN             NaN  
    D        0.044     1.19219E-02  1718.75       22             NaN             NaN             NaN       33             NaN             NaN             NaN  
    D        0.044     1.19219E-02  2031.25       22             NaN             NaN             NaN       33             NaN             NaN             NaN  
    D        0.044     1.19219E-02  2343.75       22             NaN             NaN             NaN       33             NaN             NaN             NaN  
    D        0.044     1.19219E-02  2656.25       22             NaN             NaN             NaN       33             NaN             NaN             NaN  
    D        0.044     1.19219E-02  2968.75       22             NaN             NaN             NaN       33             NaN             NaN             NaN  
    D        0.044     1.19219E-02  3281.25       22             NaN             NaN             NaN       33             NaN             NaN             NaN  
    D        0.044     1.19219E-02  3593.75       22             NaN             NaN             NaN       33             NaN             NaN             NaN  
    D        0.044     1.19219E-02  3906.25       22             NaN             NaN             NaN       33             NaN             NaN             NaN  
    D        0.044     1.19219E-02  4218.75       22             NaN             NaN             NaN       33             NaN             NaN             NaN  
    D        0.044     1.19219E-02  4531.25       22             NaN             NaN             NaN       33             NaN             NaN             NaN  
    D        0.044     1.19219E-02  4843.75       22             NaN             NaN             NaN       33             NaN             NaN             NaN  
    D        0.044     1.19219E-02  5156.25       22             NaN             NaN             NaN       33             NaN             NaN             NaN  
    D        0.044     1.19219E-02  5468.75       22             NaN             NaN             NaN       33             NaN             NaN             NaN  
    D        0.044     1.19219E-02  5781.25       22             NaN             NaN             NaN       33             NaN             NaN             NaN  
    D        0.044     1.19219E-02  6093.75       22             NaN             NaN             NaN       33             NaN             NaN             NaN  
    D        0.044     1.19219E-02  6250.00       22             NaN             NaN             NaN       33             NaN             NaN             NaN  
